cim,origTitle,forgalmazo,bemutato,bevetel,latogato
"ROSSZ ANYÁK KARÁCSONYA","A BAD MOMS CHRISTMAS",FREEMAN,2017/11/09,376663338,270844
"VALAMI AMERIKA",,"BUDAPEST FILM",2002/02/07,374356904,529187
"AZ ÉHEZŐK VIADALA: A KIVÁLASZTOTT BEFEJEZŐ RÉSZ","THE HUNGER GAMES: MOCKINGJAY 2","FÓRUM HUNGARY",2015/11/19,373439454,259686
"A KASZKADŐR","THE FALL GUY",UIP,2024/05/02,372561418,152531
"MIB - SÖTÉT ZSARUK 2",,INTERCOM,2002/07/18,371082895,469265
"MÚMIA VISSZATÉR",,"UIP DUNA FILM",2001/05/17,369000996,582442
"A SZABADSÁG ÖTVEN ÁRNYALATA","FIFTY SHADES FREED","UIP DUNA FILM",2018/02/08,367858255,262846
"SUICIDE SQUAD - ÖNGYILKOS OSZTAG","SUICIDE SQUAD",INTERCOM,2016/08/04,367024066,256933
"ELRABOLVA 3.","TAKEN 3",FREEMAN,2015/01/08,362541799,269313
"MISSION: IMPOSSIBLE - LESZÁMOLÁS - ELSŐ RÉSZ","MISSION: IMPOSSIBLE DEAD RECKONING PART ONE ",UIP,2023/07/13,360790365,171615
"A SÖTÉT ÖTVEN ÁRNYALATA","FIFTY SHADES DARKER","UIP DUNA FILM",2017/02/09,357902830,262766
"CSALÁDI ÜZELMEK","WERE THE MILLERS",INTERCOM,2013/08/22,357341651,285399
KACSALÁBON,MIGRATION,UIP,2023/12/07,356193997,162805
"MAGYAR VÁNDOR",,"BUDAPEST FILM",2004/02/05,355594382,456709
"DOCTOR STRANGE","DOCTOR STRANGE","FÓRUM HUNGARY",2016/11/06,355242585,237361
"MADAGSZKÁR PINGVINJEI","PENGUINS OF MADAGASCAR, THE (3D)",INTERCOM,2014/11/27,355061992,275875
"ALICE CSODAORSZÁGBAN","ALICE IN WONDERLAND","FÓRUM HUNGARY",2010/03/04,354186434,260517
AGYMANÓK,"INSIDE OUT","FÓRUM HUNGARY",2015/06/25,353672234,268595
"BLACK ADAM","BLACK ADAM",INTERCOM,2022/10/20,352058441,189006
ÚRIEMBEREK,"THE GENTLEMEN",VERTICAL,2020/01/30,351294525,213993
"A SÖTÉT LOVAG - FELEMELKEDÉS","THE DARK KNIGHT RISES",INTERCOM,2012/07/26,350071269,277399
"AZ: MÁSODIK FEJEZET","IT: CHAPTER TWO",INTERCOM,2019/09/05,347366458,231692
"INSTANT CSALÁD","INSTANT FAMILY","UIP DUNA FILM",2019/01/24,346393940,239051
