cim,origTitle,forgalmazo,bemutato,bevetel,latogato
"A KANYARON TÚL",,MOKÉP,2002/02/19,3415059,16785
VESZETTEK,,"BUDAPEST FILM",1998/06/18,3414343,10875
KERESZTANYA,,"SATURNUS ",1991/03/13,3413000,62000
SÁTÁNFAJZAT,,MOKÉP,1994/03/03,3404857,29333
"A HAZUGSÁGGYÁROS","SHATTERED GLASS","BUDAPEST FILM",2004/08/12,3399882,3775
SUE,,"BUDAPEST FILM",1998/12/10,3398430,9652
"BENNY ÉS JOON",,"UIP DUNA FILM",1993/08/20,3398280,32350
"ALATRISTE KAPITÁNY",ALATRISTA,MOKÉP,2007/04/05,3391379,4843
"NEVEM JOE",,"BUDAPEST FILM",1999/02/25,3385000,9642
"HÁROM SZIN KÉK",,"BUDAPEST FILM",1994/04/14,3381907,24065
"SENKI BOLONDJA",,INTERCOM,1996/11/21,3381156,12895
"THE DUKE OF BURGUNDY","THE DUKE OF BURGUNDY",MOZINET,2015/04/30,3375369,3242
"HASTA LA VISTA","HASTA LA VISTA",MOZINET,2012/04/25,3375170.1,3628
ÁRNYÉKORSZÁG,,FLAMEX,1994/10/13,3368450,21214
"PÉTER MESEORSZÁGBAN","MOONBOUND ",ADS,2022/03/17,3366495,2124
"CECIL B. DEMENTED",,"BEST HOLLYWOOD",2001/06/28,3365594,6977
"KAPITALIZMUS - SZERETEM","CAPITALISM: A LOVE STORY",SPI/FÓRUM,2010/02/04,3364200,3037
"A PILLANGÓ","LE PAPILLON","BEST HOLLYWOOD",2004/02/12,3360466,5594
"AKKOR ÉJJEL","LA NUIT DU",ADS,2023/06/01,3357795,1728
"KEGYTELEN HEGYCSÚCS",,CONSTATIN,1992/01/24,3357736,53413
"PORTO 35MM",PORTO,MOZINET,2017/06/08,3352240,2513
"INTIM VALLOMÁSOK","CONFIDENCE TROP INTIMES",SPI,2005/04/07,3350119,6586
OUT,OUT,VERTIGO,2017/06/15,3349700,4115
"MONSTER HUNTER - SZÖRNYBIRODALOM","MONSTER HUNTER",INTERCOM,2021/05/13,3348378,2366
KISASSZONYOK,,INTERCOM,1998/06/01,3346101,19231
"HÉTFŐ REGGEL","LUNDI MATIN","BUDAPEST FILM",2003/04/24,3334905,5425
ÖRÖMVÁSOR,,CONSTATIN,1993/10/15,3333413,32285
HIDEGZUHANY,"DOUCHES FROIDES","BEST HOLLYWOOD",2006/07/06,3326907,5269
"…ÉS ISTEN MEGTEREMTÉ",,MOKÉP,1990/06/28,3325922,67851
GUANTANAMO,"THE ROAD TU GUANTANAMO","BUDAPEST FILM",2006/06/01,3323070,6367
BORGMAN,BORGMAN,MOZINET,2014/04/24,3319668,3234
"FANTASIA 2000",,INTERCOM,2000/07/27,3319457,7555
"A FEHÉR FÉREG BÚVÓHELY",,MOKÉP,1990/03/22,3309244,74921
"SZERELMES SZÍVEK",,"FILMPRODUCER ",1997/12/20,3309209,50218
"VESZETT VIDÉK","SWEET COUNTRY",ADS,2018/04/19,3303060,2207
BYZANTIUM,BYZNATIUM,"BUDAPEST FILM",2013/08/01,3300365,2510
SÓHAJOK,SUSPIRIA,CINETEL,2018/11/08,3297620,2189
"GEMMA BOVERY","GEMMA BOVERY",MOZINET,2015/04/16,3295547,3186
"SZAUNA PÁRIZSBAN","LET MY PEOPLE GO",CIRKO,2012/07/12,3290882,3337
"INTIM KAPCSOLATOK",,"BUDAPEST FILM",1998/01/29,3286912,11005
"ÉS A NYOLCADIK NAPON",,"BUDAPEST FILM",1998/01/01,3281378,11044
NAGYMENŐK,,INTERCOM,1991/02/14,3266244,59630
TESTŐRBŐRBEN,,"SATURNUS ",1990/10/04,3264000,67000
"AZ ELÁTKOZOTT QUEEN MARY","HAUNTING OF THE QUEEN MARY",VERTIGO,2024/05/02,3259795,1479
"KÉK MÉLYSÉG","DEEP BLUE",SPI,2006/09/14,3257030,6603
"TERHELT TERKEL","TERKEL I KNIBE","BUDAPEST FILM",2006/12/07,3250576,4530
JÁTÉKSZEREK,,INTERCOM,1993/05/14,3248866,33025
"CSAK A BAJ VAN VELED!","TROUBLE WITH YOU",CINETEL,2019/03/07,3245570,2135
"AZ ARCUK MINDIG ELŐTTEM LESZ","JE VERRAI TOUJOURS VOS VISAGES","CIRKO FILM",2024/06/06,3244483,1573
"A SKORPIO MEGESZI AZ IKREK",,"BUDAPEST FILM",1992/05/01,3242675,40368
"KRISZTUS UTOLSÓ MEGKÍS",,"UIP DUNA FILM",1990/01/25,3242002,96105
"MARTHA MARCY MAY MARLENE","MARTHA MARCY MAY MARLENE","BUDAPEST FILM",2012/01/12,3231380,3194
"SZÍVEM CSÜCSKE, CHOUCHOU",CHOUCHOU,SPI,2004/07/15,3228012,4141
RENEGÁTOK,,MOKÉP,1991/08/30,3226450,51250
LÁNYOK,,HUNGAROTOP,2007/11/08,3226092,6241
VIPERA,,MOKÉP,1994/07/28,3225797,25910
"A MEGOLDÁSOK KÖNYVE","LE LIVRE DES SOLUTIONS","CIRKO FILM",2024/01/04,3213900,1535
"A REPÜLÉS ELMÉLETE",,"BUDAPEST FILM",2000/06/15,3213450,7330
"A TENGERALATTJÁRÓ",,CONSTATIN,1990/06/14,3210000,76000
HOLDFÉNYSZELENCE,,"BUDAPEST FILM",1998/02/26,3206714,10304
"AZ ÉSZAK KIRÁLYNŐJE","MARGARET - THE QUEEN OF NORTH ",ADS,2022/01/13,3202770,1907
"A HARCOS ÉS A HERCEGNŐ",,"BEST HOLLYWOOD",2001/07/05,3200261,5565
"AMERIKA FEGYVERBEN",,FLAMEX,1994/04/14,3192763,22869
"MADÁRSZABADÍTÓ FELHŐ,SZÉL",,"BUDAPEST FILM",2006/11/16,3187540,6863
TAMARA,,HUNGARICOM,2004/10/14,3185031,9301
"CSODA KRAKKÓBAN",,HUNGARICOM,2004/12/02,3182143,8806
"DAL MARIONNAK","SONG FOR MARION","BUDAPEST FILM",2013/07/04,3177077,3335
"TOTÁL GÁZ","Á FOND",CINETEL,2017/07/27,3175595,2048
"CINEMA PARADISO (RENDEZŐI VÁLTOZAT)","DIRECTORS CUT",ODEON,2003/05/22,3175000,5000
HATALOM,MOC,"CIRKO FILM",2024/01/18,3171390,1378
BIKANYAK,RUNDSKOP,MOZINET,2012/07/12,3165361,3158
"LÁNGOLÓ MISSISSIPPI",,"SATURNUS ",1990/08/09,3161000,71000
"AZ ALKIMISTA ÉS A SZŰZ",,MOKÉP,1999/11/18,3157208,8913
ANTIKRISZTUS,ANTICHRIST,"BUDAPEST FILM",2010/11/18,3153645,3300
"MINDEN RENDBEN MENT","TOUT S'EST BIEN PASSÉ ",VERTIGO,2022/03/31,3152793,2389
POKOL,LENFER,"BEST HOLLYWOOD",2006/06/22,3151570,5199
"A BÚCSÚKONCERT","A LATE QUARTET",VERTIGO,2013/06/20,3144630,3497
ÉJANYÁNK,,FLAMEX,1997/08/29,3143060,10096
LÁZADÓK,REBELLES,CINETEL,2019/10/24,3141343,2552
"MEZTELEN MAYA",,MOKÉP,2001/03/01,3139811,7956
"DOLORES CLAIRBORNE",,"UIP DUNA FILM",1998/11/09,3133882,18909
MAMUT,MAMMOTH,"BUDAPEST FILM",2010/09/09,3133870,4026
"EL GRECO","EL GRECO",HUNGARICOM,2009/02/05,3132885,4987
PARASZTOK,CHLOPI,VERTIGO,2023/12/07,3130548,1647
TÓTUMFAKTUM,FACTOTUM,MOKÉP,2006/01/26,3128565,5987
"A jelenés",L’apparition,VERTIGO,2018/08/30,3115444,2889
"RODIN - AZ ALKOTÓ",RODIN,ADS,2017/11/09,3113257,2935
"A JÖVŐ BŰNEI","CRIMES OF THE FUTURE ",ADS,2023/01/05,3112655,1730
"BESZÉLJ A SZERELEMRŐL","PARLEZ-MOI DAMOUR","BEST HOLLYWOOD",2003/05/01,3109720,6157
"AZ ÉSZAKI SAKKŐR SZERELMESEI",,"BUDAPEST FILM",2000/01/20,3106593,8209
GUERILLA,GUERILLA,MOZINET,2019/03/07,3102104,3842
AMERIKÁBAN,"IN AMRICA",INTERCOM,2004/01/29,3101806,4472
HÁLÓSZOBÁBAN,,INTERCOM,2002/05/09,3096800,5438
"STAR TREK",,"UIP DUNA FILM",1998/07/13,3094046,19001
"VAN VALAMI A PAJTÁBAN","THERE'S SOMETHING IN THE BARN",ADS,2023/12/28,3087130,1268
"ELJÖVENDŐ SZÉP NAPOK",,"BUDAPEST FILM",1999/12/23,3086415,8135
NEXXT,,INTERCOM,2001/11/01,3085718,6034
"VINYAN-AZ ELVESZETT LELKEK",VINYAN,CINETEL,2010/04/29,3083095,2907
OKAY,OKAY,"BUDAPEST FILM",2004/03/11,3081723,5005
"A RÓZSA ÉNEKEI",,"BUDAPEST FILM",2003/03/20,3075740,10215
"FEKETE MÁGIA",,"SATURNUS ",1990/07/12,3069000,73000
"A LEGYEK URA",,"BUDAPEST FILM",1997/10/04,3067389,49933
"HALÁLOS ERŐ",,FLAMEX,,3067305,17523
"SZERELMI BŰNÖK","CRIME DAMOUR/LOVE CRIME",MOKÉP-PANNÓNIA,2010/11/11,3067275,3011
TELITALÁLAT,,"BUDAPEST FILM",2003/04/24,3063155,12398
"TESTVÉRED FELESÉGÉT",BRODRE,"BUDAPEST FILM",2005/05/26,3058964,5416
"ÉLVE ELTEMETVE",BURIED,"BUDAPEST FILM",2011/04/21,3056070,2775
"A MÁSIK OLDALON","AUF DER ANDEREN SEITE","BEST HOLLYWOOD",2008/04/10,3050246,5450
"EDE MEGEVÉ EBÉDEM",,HUNGAROTOP,2006/10/12,3048921,9691
"AZ ÉVSZÁZAD GYERMEKEI",,"BEST HOLLYWOOD",2000/06/01,3046256,8772
"NEON CITY",,MOKÉP,1992/05/29,3038833,42870
CSEREÜVEGEK,"VRATNÉ LAHVE","BUDAPEST FILM",2008/12/04,3030450,4519
"EGY FECSKE CSINÁLT NYARAT","UNE HIRONDELLE A FAIT LE PRINTEMPS ",MOKÉP,2003/01/09,3028203,6516
"JACK ÉS ROSE BALLADÁJA","THE BALLAD OF JACK AND ROSE",MOKÉP,2005/08/25,3024369,5153
"GYILKOS LÖVÉS",,MOKÉP,1990/06/28,3021696,70641
"A NAGYMESTER","YI DAI ZONG SHI",MTVA,2013/09/12,3021475,2487
"TELJESEN IDEGENEK","PERFETTI SCONOSCIUTI",CINENUOVO,2016/12/29,3017950,2244
"CÁPI KAPITÁNY","CAPT`N SHARKY",ADS,2018/12/27,3015545,2092
"LÉVY ÉS GÓLIÁT",,MOKÉP,1990/09/06,3014746,70471
LIAM,,"BUDAPEST FILM",2001/08/30,3010002,6669
"AZ OSZTÁLY","ENTRE LES MURS",CIRKO,2009/04/16,3006425,5195
VÉNUSZCSAPDA,,"BUDAPEST FILM",1990/01/03,3003696,72887
"MINDEN VAGY SEMMI","ALL OR NOTHING","BUDAPEST FILM",2003/04/10,2991954,5895
"NADER ÉS SIMIN- EGY ELVÁLÁS TÖRTÉNETE","JODAEIYE NADER AZ SIMIN",MOKÉP-PANNÓNIA,2011/08/25,2990392,3772
"KÖZPONTI PÁLYAUDVA",,"UIP DUNA FILM",1999/07/08,2974483,7889
"NYOMUL A 8,DIMENZIÓ",,FLAMEX,1993/11/05,2973661,29003
"NAPSUGÁR SÉTÁNY",,KINOWELT,2000/10/05,2972355,6630
"MY GIRL 2.",,INTERCOM,1994/07/14,2972117,25262
"SZÁJBÓL SZÁJBA",,"BUDAPEST FILM",1997/02/06,2970446,11287
"HAMUPIPŐKE ÉS AZ ELVARÁZSOLT HERCEG","CINDERELLA AND THE SECRET PRINCE",ADS,2019/05/30,2966815,2157
"A MÉHEK VILÁGA","MORE THAN HONEY",MOZINET,2013/05/09,2966043,4021
TRÉFA,,"BUDAPEST FILM",2009/10/01,2964025,4087
"KÓBOR SZELLEM PALACKOT KER",,MOKÉP,1992/09/18,2946503,43824
"HALÁLOS SZÍVDOBBANÁS","DE BATTRE MON COEUR SEST ARRÉTÉ",MOKÉP,2006/05/11,2940427,6125
LÁNY,GIRL,VERTIGO,2018/11/15,2939480,2632
"HÉTKÖZNAPI PÁR","PERFECT SENSE",SZUEZFILM,2011/09/29,2937350,2822
"KISS KISS (BANGBANG)**",,MÁSKÉPP,2002/03/21,2926531,5590
"FINÁNC A PÁCBAN","RIEN Á DÉCLARER","BUDAPEST FILM",2011/11/24,2922060,3491
"ELÁTKOZOTT BARLANG","ZAKLIATA JASKYNA ",VERTIGO,2022/09/22,2920912,2395
UFÓVADÁSZOK,"UFO SWEDEN ",VERTIGO,2023/01/19,2917985,1346
"A SORS KEGYELTJEI... MEG A TÖBBIEK","MA LOUTE",MOZINET,2016/11/17,2917413,2600
"COCO CHANEL & IGOR STRAVINSKY","COCO CHANE & IGOR STRAVINSKY",SZUEZFILM,2010/03/04,2915594,3844
"KISS KISS BANG BANG",,MÁSKÉPP,,2910181,5557
"KÜLVÁROSI FÉNYEK","LIGHTS IN THE DUKS","BUDAPEST FILM",2007/01/25,2910085,4601
"ÉN ÉS A SÁRKÁNYOM","DRAGON GIRL ",ADS,2021/12/16,2905717,1960
NYERSANYAG,NYERSANYAG,VERTIGO,2024/02/15,2905015,1599
"FERI ÉS AZ ÉDES ÉLET",,"BUDAPEST FILM",2001/05/24,2902294,8817
JAPÁN,JAPON,"BUDAPEST FILM",2004/02/05,2897589,5477
PORCELÁNBABA,,"BUDAPEST FILM",2005/10/06,2890509,7719
ELEFÁNT,ELEPHANT,"BUDAPEST FILM",2004/05/06,2890458,5599
"HAVANNAI ÉJSZAKA","RETOUR À ITHAQUE",MOZINET,2015/04/02,2882340,2825
"NINCS KIÚT",,"SATURNUS ",1990/07/26,2882000,67000
"VELVET GOLDMINE",,"BUDAPEST FILM",1999/05/27,2881238,7863
REVANS,REVANCHE,MOZINET,2010/04/29,2880795,4864
"KÍVÜL TÁGASABB","DONT COME KNOCKING","BEST HOLLYWOOD",2005/11/17,2875142,4724
"WONDER WHEEL - AZ ÓRIÁSKERÉK","WONDER WHEEL",CINETEL,2017/12/07,2870907,2065
"OFF HOLLYWOOD",,HUNGAROTOP,2008/11/29,2868997,5543
"A PROSTI",,CONSTATIN,1992/05/05,2867950,39491
"KACAGÓ KOCOGÓ",,"BUDAPEST FILM",1992/05/29,2866040,41559
GYERE-CSERE,,FLAMEX,2000/06/15,2864595,6786
SWEAT,SWEAT,MOZINET,2021/07/08,2861005,2185
SELYEMGUBÓ,,MOKÉP,1991/01/31,2859695,54464
MESTERCSAPDA,,MOKÉP,,2848633,17867
"MANTA, MANTA: PADLÓGÁZ","MANTA, MANTA - ZWOTER TILE",VERTIGO,2023/08/31,2846895,1532
FÚJHATJUK!,,"BUDAPEST FILM",1998/11/27,2844375,10597
"PAJZÁN KÍVÁNCSISÁG",CURIOSA,VERTIGO,2019/07/04,2841276,2304
"ELVESZVE PÁRIZSBAN","LOST IN PARIS",ADS,2017/04/27,2833413,2781
"HETEDIK ALABÁRDOS","HETEDIK ALABÁRDOS","SKY FILM",2017/09/21,2828028,4076
"ISTENI KOMÉDIA",,"BUDAPEST FILM",1999/04/15,2821966,6375
"FEKETE MACSKA",,MOKÉP,1992/12/02,2815389,36188
"LÁNY KILENC PARÓKÁVAL","HEUTE BIN ICH BLOND",MTVA,2014/04/10,2810723,2451
"FACÉR JIMMY","LONESOME JIM","BUDAPEST FILM",2006/07/27,2809995,4872
"JÖN HAROLD!","HER ER HAROLD",MOZINET,2015/06/25,2809498,2748
"WOODSTOCK A KERTEMBEN","TAKING WOODSTOCK","BUDAPEST FILM",2010/01/07,2805665,3463
KINCSVADÁSZOK,,MOKÉP,1990/03/29,2803679,76249
"JÖTT EGY BUSZ…",,"BUDAPEST FILM",2003/09/25,2803173,7390
"NÉHA A CSAJOK IS UGY VANNAK",,"BUDAPEST FILM",1994/06/23,2802597,17803
FÜGGŐKERT,,"BUDAPEST FILM",2000/03/09,2801815,7223
"TALÁLKOZÁS VÉNUSSZAL",,INTERCOM,1997/11/08,2795535,38101
"MACONI GYEREK",,"BUDAPEST FILM",1994/03/24,2781201,19186
"TITANIC SZOBALÁNYA",,MOKÉP,2002/01/10,2776238,5765
"BÁRÁNYOK HARAPNAK","BLACK SHEEP","BUDAPEST FILM",2008/01/17,2773150,2868
"WINTERS BONE - A HALLGATÁS TÖRVÉNYE","WINTERS BONE",MOKÉP-PANNÓNIA,2011/05/19,2772060,3133
LOURDES,LOURDES,MOZINET,2010/10/07,2771463,4245
"MARGUERITE, A SZÁMOK SZERELMESE","LE THÉORÈME DE MARGUERITE","CIRKO FILM",2024/05/16,2767616,1299
"NERUDA POSTÁSA",,INTERCOM,1998/10/19,2763780,15260
"ÖVEKET BECSATOLNI","ALLACCIATE LE CINTURE",VERTIGO,2015/01/29,2760775,3212
"ÍGÉRET FÖLDJE","PROMISED LAND","BIG BANG MEDIA",2013/02/28,2760750,2068
"A HŐLÉGBALLON",BALLON,CINETEL,2019/04/25,2755041,1963
"CYRANO DE BERGERAC",,MOKÉP,1991/05/10,2753378,38727
"A PRÓFÉTA","UN PROPHETE",SZUEZFILM,2009/11/12,2752830,3748
"SZERELMEM, SZARAJEVÓ",GRBAVICA,"BUDAPEST FILM",2007/05/10,2752074,4989
"EGYRE TÁVOLABB","AWAY FROM HER","BEST HOLLYWOOD",2007/06/28,2749813,5252
"LESZÁMOLÁS DENVERBEN",,MOKÉP,1996/08/01,2747624,13511
"OLY SOKÁIG SZERETTELEK","IL Y A LONGTEMPS QUE JE TAIME",ODEON,2009/04/23,2746805,11067
VICTORIA,VICTORIA,VERTIGO,2015/10/08,2743903,3446
"OMEGA COP",,MOKÉP,1992/10/02,2743352,40085
"PUSZTA FORMALITÁS",,"BUDAPEST FILM",1994/10/13,2740712,17903
OHORTEN,OHORTEN,"BUDAPEST FILM",2009/12/17,2739060,3324
"ODA AZ IGAZSÁG",,MOZINET,2010/02/11,2736035,5381
"NAGY SZEMEK","BIG EYES","FÓRUM HUNGARY",2015/03/05,2735700,2538
"MAJDNEM TÖKÉLETES SZERELEM","ALMOST PERFECT",CIRKO,2013/09/12,2734969,3068
"DALOK A 2.EMELETRŐL",,"BUDAPEST FILM",2001/12/13,2731935,6398
"A HIPNOTIZŐR",HYPNOTISÖREN,"BUDAPEST FILM",2013/04/25,2728712,2298
ANNETTE,ANNETTE,MOZINET,2021/12/30,2728620,2053
GÓLIÁT,GOLIATH,VERTIGO,2019/08/08,2724686,2727
"SZERELMES THOMAS",,"BUDAPEST FILM",2001/10/04,2718701,4891
SZÖRNYETEG,KAIBUTSU,"CIRKO FILM",2023/09/14,2718575,1222
"GOMBOS JIM ÉS A RETTEGETT 13","JIM KNOPF UND DIE WILDE 13 ",ADS,2021/10/14,2716735,1800
"ITT VAN ELDORÁDÓ",,"BUDAPEST FILM",1996/06/20,2713750,12004
"OROSZORSZÁG HÁZ",,"UIP DUNA FILM",1992/06/19,2711792,29736
"TITOKZATOS TÁRSULAT","MAGNIFICA PRESENZA",SZUEZFILM,2012/09/13,2705080,2405
"A PROFESSZOR ÉS AZ ŐRÜLT","THE PROFESSOR AND THE MADMAN ",ADS,2022/01/27,2700260,1977
"TILTOTT TÁNCOK","JIMMYS HALL",MOZINET,2014/11/06,2698447,2632
"TÍZ PERC","TEN MINUTES OLDER: THE TRUMPET","BUDAPEST FILM",2003/04/03,2692905,5421
"EGY SZERELEM TÖRTÉNETE: A FÉRFI","THE DISAPPEARANCE OF ELEANOR RIGBY: HIM",VERTIGO,2014/11/27,2692492,2594
"HÜVELYK MATYI",,"BEST HOLLYWOOD",2002/03/14,2692097,5576
"AZ ÍJ","HEAL/THE BOW",MOKÉP,2005/04/13,2690456,4209
"MOSZKVA, BELGIUM","AANRIJDING IN MOSCOU",CIRKO/MÁSKÉPP,2009/06/02,2689298,4277
"CSENDES TERROR",,MOKÉP,1991/09/13,2688028,44263
"A HASONMÁS","THE DOUBLE",VERTIGO,2014/04/03,2686322,2591
"LÁTOM, AMIT LÁTSZ","LÁTOM, AMIT LÁTSZ",FILMSQUAD,2023/06/22,2684230,1914
"HARRY ÉS SALLY",,CONSTATIN,1991/05/03,2683174,47038
"YOUNG ADAM","YOUNG ADAM","BUDAPEST FILM",2004/11/18,2680688,5020
"ÉJFÉL UTÁN","DOPO MEZANOTTE","BEST HOLLYWOOD",2005/02/17,2678316,5328
VADEMBEREK,,"BUDAPEST FILM",2001/09/27,2676005,5446
"4 ÉVSZAK KIS FALUMBAN","LES 4 SAISONS DESPIGOULE","BEST HOLLYWOOD",2006/05/25,2674913,5541
"APRÓ KIS HAZUGSÁGOK","LES PETITS MOUCHOIRS",CIRKO,2011/11/03,2672340,2758
"SOUL EXODUS","SOUL EXODUS",MOZINET,2016/12/15,2670357,3158
"TÁVOL A MENYORSZÁGTÓL","FAR FROM HEAVEN",SPI,2003/10/23,2668470,4779
DUMAS,"LAUTRE DUMAS/DUMAS",MOKÉP-PANNÓNIA,2010/09/30,2667589,3181
"JÖVŐ NYÁR","JÖVŐ NYÁR",MOZINET,2023/01/12,2666545,1886
"A NÉMET DOKTOR",WAKOLDA,VERTIGO,2014/01/30,2659001,2945
"WOMB - MÉH",WOMB,MOZINET,2011/04/07,2658617,3720
APAFÖLD,,MOZINET,2009/03/19,2656575,5294
"SZENT PÓK","HOLY SPIDER ",VERTIGO,2022/10/13,2655905,2112
"BUDAKESZI SRÁCOK",,HUNGAROTOP,2006/11/02,2655546,11279
KIRUCCANÓK,,"BUDAPEST FILM",1999/08/12,2654860,7687
"F.USS T.OVÁBB W.ELLS",,MOKÉP,,2653016,15935
"A KILENC KIRÁLYNŐ","NUEVE REINAS","BUDAPEST FILM",2003/05/22,2650485,5265
"DARTAGNAN LÁNYA",,"BUDAPEST FILM",1996/01/25,2648897,14793
"TITKOLT TITKOSÜGYNÖK",,MOKÉP,1993/07/23,2645783,30258
KÁNIKULA,,"BUDAPEST FILM",2002/05/16,2640643,6133
"AMÍG ALSZOL","MIENTRAS DUERMES",MOZINET,2012/11/15,2636725,2328
"A SZERELEM NEM VÁRHAT","GOD, YOU ARE SUCH A PRICK ",ADS,2021/07/08,2636071,1678
"MICHAEL COLLINS",,INTERCOM,1998/04/10,2633274,10820
"MESÉS AMERIKA EGÉRKE A",,"UIP DUNA FILM",1992/11/06,2619086,51359
"SZERESS MEXIKÓBAN!",,"BUDAPEST FILM",1994/11/17,2616815,15986
"EZ A SZERELEM",,"BUDAPEST FILM",2002/05/02,2615179,6484
"LUNA PAPA",,KINOWELT,2000/11/02,2613892,6384
"HIHETETLEN IGAZSÁG",,"BUDAPEST FILM",1993/12/17,2607644,17616
"TABUK NÉLKÜL EGY FÉRFI 2 NŐ",,MOKÉP,1994/03/17,2606474,22561
"MAX MANUS","MAX MANUS",GRANTFILM,2009/12/03,2595472,4111
"UTOLSÓ HÁREM**",,FLAMEX,2001/11/22,2593900,5231
WARLOCK,,"SATURNUS ",1991/02/07,2593000,51000
"AZ ÓRIÁS",,"UIP DUNA FILM",1999/06/10,2591434,7446
"AZ ANGYAL","EL ÁNGEL",MOZINET,2019/10/24,2589677,1999
"POLA X",,"BUDAPEST FILM",2000/04/13,2586353,6081
"A TANÍTÓNŐ","THE KINDERGARTEN TEACHER",ADS,2019/01/03,2580195,2115
"HABCSÓKOK ÉS CSILLAGOK","À LA BELLE ÉTOILE","CIRKO FILM",2023/07/20,2579851,1381
"SHORT BUS",,"BUDAPEST FILM",2007/07/06,2575867,3394
"NEM KAPJÁTOK MEG A GYŰLÖLETEM","VOUS N'AUREZ PAS MA HAINE ",MOZINET,2023/06/01,2575202,1692
"HIHETETLEN UTAZÁS","TURTLE: THE INCREDIBLE JOURNEY","BEST HOLLYWOOD",2010/05/13,2573240,4810
"HALÁLOS MÉLYSÉG",PIONEER,VERTIGO,2014/04/17,2573020,2104
"MERÜLÉS A SZERELEMBE",SUBMERGENCE,ADS,2018/06/21,2572625,2120
9,9,"BUDAPEST FILM",2010/04/22,2571660,2959
"A VISSZATÉRÉS","THE RETUNR/VOZVRASÉNYIJE",MOKÉP,2004/03/18,2564170,5119
SERENA,SERENA,VERTIGO,2015/05/28,2563852,2017
"AZ UTOLSÓ TANGÓNK","UN TANGO MAS",VERTIGO,2016/10/13,2561260,2818
"CLAIRE DARLING UTOLSÓ HÚZÁSA","LA DERNIÈRE FOLIE DE CLAIRE DARLING",HUNGARICOM,2019/04/04,2557210,2479
"A ZÓNA","LA ZONA","BUDAPEST FILM",2008/09/18,2556480,4433
HOLDFÉNYÉV,"MOONLIGHT MILE",SPI,2003/11/20,2550928,3407
BÁRÁNY,LAMB,VERTIGO,2021/08/12,2550320,2320
"FŰBEN JÁRÓ BŰN",,"BUDAPEST FILM",2001/07/12,2548582,36247
"A HALÁL ÉS A LÁNYKA",,MOKÉP,1996/03/28,2546156,13071
"SZÉP NAPOK","SZÉP NAPOK",SPI,2003/03/06,2537574,5441
"MRS.RATCLIFFE FORRADALMA","MRS.RATCLIFFES REVOLUTION","BUDAPEST FILM",2008/07/31,2536348,3880
"HÁZ A KÖDBEN","HOUSE OF SAND AND FOG","UIP DUNA FILM",2004/03/18,2533831,3212
"EGY CSÓK ÉS MÁS MINDEN",KISS,"BUDAPEST FILM",2003/07/10,2532350,4571
"CHE - AZ ARGENTIN","CHE - LARGENTIN",SPI/FÓRUM,2009/06/04,2529853,3547
"BARNIE APRÓ BOSSZÚSÁGAI",,MOKÉP,2002/06/13,2528650,3846
"A POSTÁS MINDIG KÉSZER CSEN(FEL)",,MOKÉP,1990/10/11,2527898,46392
"HAZUG SZUKA",,MOKÉP,,2524788,15576
"LIBANONI KERINGŐ","WALTZ WITH BASHIR",SZUEZFILM,2008/12/31,2522004,3300
"UTCAI SZAMURÁJOK","LES FILS DU VENT","BEST HOLLYWOOD",2006/02/16,2521820,2832
ANGIE,,INTERCOM,1994/07/07,2520387,19202
SZIRÉNEK,,MOKÉP,,2514104,12750
"TITKOM VIRÁGA",,"BUDAPEST FILM",1996/02/22,2513600,12151
"HA TE NEM LENNÉL","ROIS ET REINE","BEST HOLLYWOOD",2006/01/12,2512325,4471
FÜST,,MOKÉP,1996/04/25,2511856,11335
"25 KM/H - FÉKTELEN SZÁGULDÁS","25 KM/H",ADS,2019/07/25,2507515,1687
"SUPERMAN I.",,MOKÉP,1992/07/03,2506754,35528
"LEGJOBB TUDOMÁSOM SZERINT","LEGJOBB TUDOMÁSOM SZERINT","BUDAPEST FILM",2021/12/16,2506695,1714
"TÁNCOS A HÁZBAN","THE DANCER UPSTRAIS","BUDAPEST FILM",2004/01/22,2506365,4216
"KETTŐS JÁTSZMA","SHADOW DANCER",VERTIGO,2013.01.10,2505554,1955
"VIVA LA LIBERTA - ÉLJEN A SZABADSÁG!","VIVA LA LIBERTA",MOZINET,2014/03/27,2504694,2466
"A SZÜLETÉS","THE NATIVITY STORY",INTERCOM,2006/12/14,2503450,4139
ESEMÉNY,"L'ÉVÉNEMENT ",MOZINET,2022/09/29,2503028,1759
"A hűséges","Racer and the jailbird/La fidéle",VERTIGO,2018/03/22,2502375,2520
"A 13-AS",,"BUDAPEST FILM",2007/04/26,2496945,3979
"A HAZUGSÁG SZÍNE","THE BURNT ORANGE HERESY",ADS,2020/07/30,2491035,1600
"A LEGTÖBB EMBER KÍNÁBA ÉL","FOLK FLEST BO I KINA",MÁSKÉPP,2004/12/30,2489154,4270
"GRAZIA SZIGET",RESPIRO,"BUDAPEST FILM",2003/11/27,2482922,4520
"A SZERELEM FÉSZKEI",,CONSTATIN,1992/02/05,2482749,29347
"MAGÁNYOS ERŐ",,HAJDÚFILM,1990/10/11,2481000,56000
METAMORFÓZIS,,MOKÉP,1990/10/25,2476912,52235
"AGYŐ,ÉDES OTTHON",,"BUDAPEST FILM",2000/11/23,2475560,5900
"SZENT SZÍV","CUORE SACRO",SPI,2006/11/23,2470428,3913
